date,EST,TAM,value
16/06/2020,SFE,PM2.5,28
17/06/2020,SFE,PM2.5,15
18/06/2020,SFE,PM2.5,17
19/06/2020,SFE,PM2.5,10
20/06/2020,SFE,PM2.5,9
21/06/2020,SFE,PM2.5,12
22/06/2020,SFE,PM2.5,6
23/06/2020,SFE,PM2.5,3
24/06/2020,SFE,PM2.5,12
25/06/2020,SFE,PM2.5,11
26/06/2020,SFE,PM2.5,6
27/06/2020,SFE,PM2.5,16
28/06/2020,SFE,PM2.5,17
29/06/2020,SFE,PM2.5,15
30/06/2020,SFE,PM2.5,12
01/07/2020,SFE,PM2.5,13
02/07/2020,SFE,PM2.5,30
03/07/2020,SFE,PM2.5,11
04/07/2020,SFE,PM2.5,18
05/07/2020,SFE,PM2.5,12
06/07/2020,SFE,PM2.5,9
07/07/2020,SFE,PM2.5,8
08/07/2020,SFE,PM2.5,0
09/07/2020,SFE,PM2.5,11
10/07/2020,SFE,PM2.5,0
11/07/2020,SFE,PM2.5,11
12/07/2020,SFE,PM2.5,12
13/07/2020,SFE,PM2.5,10
14/07/2020,SFE,PM2.5,15
15/07/2020,SFE,PM2.5,17
16/07/2020,SFE,PM2.5,11
17/07/2020,SFE,PM2.5,15
18/07/2020,SFE,PM2.5,22
19/07/2020,SFE,PM2.5,17
20/07/2020,SFE,PM2.5,9
21/07/2020,SFE,PM2.5,15
22/07/2020,SFE,PM2.5,12
23/07/2020,SFE,PM2.5,13
24/07/2020,SFE,PM2.5,6
25/07/2020,SFE,PM2.5,14
26/07/2020,SFE,PM2.5,8
27/07/2020,SFE,PM2.5,6
28/07/2020,SFE,PM2.5,15
29/07/2020,SFE,PM2.5,9
30/07/2020,SFE,PM2.5,14
31/07/2020,SFE,PM2.5,9
01/08/2020,SFE,PM2.5,6
02/08/2020,SFE,PM2.5,0
03/08/2020,SFE,PM2.5,8
04/08/2020,SFE,PM2.5,17
05/08/2020,SFE,PM2.5,4
06/08/2020,SFE,PM2.5,8
07/08/2020,SFE,PM2.5,8
08/08/2020,SFE,PM2.5,9
09/08/2020,SFE,PM2.5,0
10/08/2020,SFE,PM2.5,11
11/08/2020,SFE,PM2.5,2
12/08/2020,SFE,PM2.5,7
13/08/2020,SFE,PM2.5,5
14/08/2020,SFE,PM2.5,10
15/08/2020,SFE,PM2.5,8
16/08/2020,SFE,PM2.5,8
17/08/2020,SFE,PM2.5,5
18/08/2020,SFE,PM2.5,0
19/08/2020,SFE,PM2.5,10
20/08/2020,SFE,PM2.5,10
21/08/2020,SFE,PM2.5,9
22/08/2020,SFE,PM2.5,0
23/08/2020,SFE,PM2.5,13
24/08/2020,SFE,PM2.5,14
25/08/2020,SFE,PM2.5,2
26/08/2020,SFE,PM2.5,0
27/08/2020,SFE,PM2.5,4
28/08/2020,SFE,PM2.5,4
29/08/2020,SFE,PM2.5,17
30/08/2020,SFE,PM2.5,13
31/08/2020,SFE,PM2.5,6
01/09/2020,SFE,PM2.5,13
02/09/2020,SFE,PM2.5,11
03/09/2020,SFE,PM2.5,9
04/09/2020,SFE,PM2.5,4
05/09/2020,SFE,PM2.5,2
06/09/2020,SFE,PM2.5,4
07/09/2020,SFE,PM2.5,12
08/09/2020,SFE,PM2.5,13
09/09/2020,SFE,PM2.5,15
10/09/2020,SFE,PM2.5,6
11/09/2020,SFE,PM2.5,0
12/09/2020,SFE,PM2.5,19
13/09/2020,SFE,PM2.5,9
14/09/2020,SFE,PM2.5,8
15/09/2020,SFE,PM2.5,11
16/09/2020,SFE,PM2.5,7
17/09/2020,SFE,PM2.5,14
18/09/2020,SFE,PM2.5,5
19/09/2020,SFE,PM2.5,3
20/09/2020,SFE,PM2.5,18
21/09/2020,SFE,PM2.5,14
22/09/2020,SFE,PM2.5,13
23/09/2020,SFE,PM2.5,18
24/09/2020,SFE,PM2.5,13
25/09/2020,SFE,PM2.5,24
26/09/2020,SFE,PM2.5,17
27/09/2020,SFE,PM2.5,8
28/09/2020,SFE,PM2.5,6
29/09/2020,SFE,PM2.5,0
30/09/2020,SFE,PM2.5,22
01/10/2020,SFE,PM2.5,22
02/10/2020,SFE,PM2.5,8
03/10/2020,SFE,PM2.5,7
04/10/2020,SFE,PM2.5,13
05/10/2020,SFE,PM2.5,10
06/10/2020,SFE,PM2.5,20
07/10/2020,SFE,PM2.5,9
08/10/2020,SFE,PM2.5,14
09/10/2020,SFE,PM2.5,16
10/10/2020,SFE,PM2.5,12
11/10/2020,SFE,PM2.5,6
12/10/2020,SFE,PM2.5,14
13/10/2020,SFE,PM2.5,24
14/10/2020,SFE,PM2.5,9
15/10/2020,SFE,PM2.5,6
16/10/2020,SFE,PM2.5,11
17/10/2020,SFE,PM2.5,5
18/10/2020,SFE,PM2.5,15
19/10/2020,SFE,PM2.5,7
20/10/2020,SFE,PM2.5,6
21/10/2020,SFE,PM2.5,9
22/10/2020,SFE,PM2.5,12
23/10/2020,SFE,PM2.5,7
24/10/2020,SFE,PM2.5,6
25/10/2020,SFE,PM2.5,4
26/10/2020,SFE,PM2.5,8
27/10/2020,SFE,PM2.5,13
28/10/2020,SFE,PM2.5,15
29/10/2020,SFE,PM2.5,24
30/10/2020,SFE,PM2.5,15
31/10/2020,SFE,PM2.5,14
01/11/2020,SFE,PM2.5,10
02/11/2020,SFE,PM2.5,13
03/11/2020,SFE,PM2.5,0
04/11/2020,SFE,PM2.5,12
05/11/2020,SFE,PM2.5,20
06/11/2020,SFE,PM2.5,31
07/11/2020,SFE,PM2.5,11
08/11/2020,SFE,PM2.5,13
09/11/2020,SFE,PM2.5,12
10/11/2020,SFE,PM2.5,10
11/11/2020,SFE,PM2.5,12
12/11/2020,SFE,PM2.5,20
13/11/2020,SFE,PM2.5,8
14/11/2020,SFE,PM2.5,15
15/11/2020,SFE,PM2.5,13
16/11/2020,SFE,PM2.5,9
17/11/2020,SFE,PM2.5,2
18/11/2020,SFE,PM2.5,10
19/11/2020,SFE,PM2.5,5
20/11/2020,SFE,PM2.5,19
21/11/2020,SFE,PM2.5,2
22/11/2020,SFE,PM2.5,4
23/11/2020,SFE,PM2.5,7
24/11/2020,SFE,PM2.5,13
25/11/2020,SFE,PM2.5,7
26/11/2020,SFE,PM2.5,14
27/11/2020,SFE,PM2.5,0
28/11/2020,SFE,PM2.5,3
29/11/2020,SFE,PM2.5,7
30/11/2020,SFE,PM2.5,23
01/12/2020,SFE,PM2.5,18
02/12/2020,SFE,PM2.5,5
03/12/2020,SFE,PM2.5,11
04/12/2020,SFE,PM2.5,4
05/12/2020,SFE,PM2.5,11
06/12/2020,SFE,PM2.5,9
07/12/2020,SFE,PM2.5,13
08/12/2020,SFE,PM2.5,20
09/12/2020,SFE,PM2.5,15
10/12/2020,SFE,PM2.5,21
11/12/2020,SFE,PM2.5,12
12/12/2020,SFE,PM2.5,12
13/12/2020,SFE,PM2.5,8
14/12/2020,SFE,PM2.5,16
15/12/2020,SFE,PM2.5,5
16/12/2020,SFE,PM2.5,19
17/12/2020,SFE,PM2.5,16
18/12/2020,SFE,PM2.5,4
19/12/2020,SFE,PM2.5,17
20/12/2020,SFE,PM2.5,13
21/12/2020,SFE,PM2.5,22
22/12/2020,SFE,PM2.5,18
23/12/2020,SFE,PM2.5,25
24/12/2020,SFE,PM2.5,12
25/12/2020,SFE,PM2.5,51
26/12/2020,SFE,PM2.5,11
27/12/2020,SFE,PM2.5,8
28/12/2020,SFE,PM2.5,8
29/12/2020,SFE,PM2.5,15
30/12/2020,SFE,PM2.5,22
31/12/2020,SFE,PM2.5,2
01/01/2021,SFE,PM2.5,13
02/01/2021,SFE,PM2.5,11
03/01/2021,SFE,PM2.5,13
04/01/2021,SFE,PM2.5,20
05/01/2021,SFE,PM2.5,17
06/01/2021,SFE,PM2.5,13
07/01/2021,SFE,PM2.5,18
08/01/2021,SFE,PM2.5,18
09/01/2021,SFE,PM2.5,12
10/01/2021,SFE,PM2.5,7
11/01/2021,SFE,PM2.5,9
12/01/2021,SFE,PM2.5,8
13/01/2021,SFE,PM2.5,17
14/01/2021,SFE,PM2.5,12
15/01/2021,SFE,PM2.5,19
16/01/2021,SFE,PM2.5,16
17/01/2021,SFE,PM2.5,7
18/01/2021,SFE,PM2.5,13
19/01/2021,SFE,PM2.5,17
20/01/2021,SFE,PM2.5,16
21/01/2021,SFE,PM2.5,11
